Rat_ID,Group,Intervention,Recording_Time_Point,Phase,Zeitgeber_Time,Sleep
19,VSL,NPR,BL,DARK,21,2910
19,VSL,NPR,BL,DARK,22,1340
19,VSL,NPR,BL,DARK,23,1690
19,VSL,NPR,BL,DARK,24,3060
20,VSL,NPR,BL,LIGHT,1,3210
20,VSL,NPR,BL,LIGHT,2,3360
20,VSL,NPR,BL,LIGHT,3,3370
20,VSL,NPR,BL,LIGHT,4,3370
20,VSL,NPR,BL,LIGHT,5,2680
20,VSL,NPR,BL,LIGHT,6,2430
20,VSL,NPR,BL,LIGHT,7,3530
20,VSL,NPR,BL,LIGHT,8,2850
20,VSL,NPR,BL,LIGHT,9,3540
20,VSL,NPR,BL,LIGHT,10,2540
20,VSL,NPR,BL,LIGHT,11,2070
20,VSL,NPR,BL,LIGHT,12,2220
20,VSL,NPR,BL,DARK,13,1700
20,VSL,NPR,BL,DARK,14,2410
20,VSL,NPR,BL,DARK,15,940
20,VSL,NPR,BL,DARK,16,1580
20,VSL,NPR,BL,DARK,17,1670
20,VSL,NPR,BL,DARK,18,1640
20,VSL,NPR,BL,DARK,19,2560
20,VSL,NPR,BL,DARK,20,190
20,VSL,NPR,BL,DARK,21,370
20,VSL,NPR,BL,DARK,22,2590
20,VSL,NPR,BL,DARK,23,1300
20,VSL,NPR,BL,DARK,24,1170
21,VSL,NPR,BL,LIGHT,1,3310
21,VSL,NPR,BL,LIGHT,2,3210
21,VSL,NPR,BL,LIGHT,3,3520
21,VSL,NPR,BL,LIGHT,4,1500
21,VSL,NPR,BL,LIGHT,5,2950
21,VSL,NPR,BL,LIGHT,6,3450
21,VSL,NPR,BL,LIGHT,7,3590
21,VSL,NPR,BL,LIGHT,8,3440
21,VSL,NPR,BL,LIGHT,9,2520
21,VSL,NPR,BL,LIGHT,10,3510
21,VSL,NPR,BL,LIGHT,11,2100
21,VSL,NPR,BL,LIGHT,12,2710
21,VSL,NPR,BL,DARK,13,1380
21,VSL,NPR,BL,DARK,14,1960
21,VSL,NPR,BL,DARK,15,930
21,VSL,NPR,BL,DARK,16,400
21,VSL,NPR,BL,DARK,17,550
21,VSL,NPR,BL,DARK,18,2280
21,VSL,NPR,BL,DARK,19,340
21,VSL,NPR,BL,DARK,20,460
21,VSL,NPR,BL,DARK,21,3360
21,VSL,NPR,BL,DARK,22,2880
21,VSL,NPR,BL,DARK,23,270
21,VSL,NPR,BL,DARK,24,110
22,VSL,NPR,BL,LIGHT,1,3140
22,VSL,NPR,BL,LIGHT,2,3520
22,VSL,NPR,BL,LIGHT,3,2680
22,VSL,NPR,BL,LIGHT,4,3490
22,VSL,NPR,BL,LIGHT,5,2980
22,VSL,NPR,BL,LIGHT,6,2930
22,VSL,NPR,BL,LIGHT,7,3500
22,VSL,NPR,BL,LIGHT,8,2960
22,VSL,NPR,BL,LIGHT,9,3340
22,VSL,NPR,BL,LIGHT,10,2960
22,VSL,NPR,BL,LIGHT,11,3420
22,VSL,NPR,BL,LIGHT,12,1910
22,VSL,NPR,BL,DARK,13,1980
22,VSL,NPR,BL,DARK,14,1360
22,VSL,NPR,BL,DARK,15,2220
22,VSL,NPR,BL,DARK,16,770
22,VSL,NPR,BL,DARK,17,1310
22,VSL,NPR,BL,DARK,18,1450
22,VSL,NPR,BL,DARK,19,1460
22,VSL,NPR,BL,DARK,20,1170
22,VSL,NPR,BL,DARK,21,1140
22,VSL,NPR,BL,DARK,22,1580
22,VSL,NPR,BL,DARK,23,1770
22,VSL,NPR,BL,DARK,24,1060
23,VSL,NPR,BL,LIGHT,1,3600
23,VSL,NPR,BL,LIGHT,2,3600
23,VSL,NPR,BL,LIGHT,3,3600
23,VSL,NPR,BL,LIGHT,4,3600
23,VSL,NPR,BL,LIGHT,5,2780
23,VSL,NPR,BL,LIGHT,6,1260
23,VSL,NPR,BL,LIGHT,7,3600
23,VSL,NPR,BL,LIGHT,8,3600
23,VSL,NPR,BL,LIGHT,9,3600
23,VSL,NPR,BL,LIGHT,10,3570
23,VSL,NPR,BL,LIGHT,11,3590
23,VSL,NPR,BL,LIGHT,12,3350
23,VSL,NPR,BL,DARK,13,2290
23,VSL,NPR,BL,DARK,14,2360
23,VSL,NPR,BL,DARK,15,3510
23,VSL,NPR,BL,DARK,16,3530
23,VSL,NPR,BL,DARK,17,3310
23,VSL,NPR,BL,DARK,18,3320
23,VSL,NPR,BL,DARK,19,3310
23,VSL,NPR,BL,DARK,20,3260
23,VSL,NPR,BL,DARK,21,3600
23,VSL,NPR,BL,DARK,22,3040
23,VSL,NPR,BL,DARK,23,3420
23,VSL,NPR,BL,DARK,24,3130
24,VSL,NPR,BL,LIGHT,1,2820
24,VSL,NPR,BL,LIGHT,2,3210
24,VSL,NPR,BL,LIGHT,3,3020
24,VSL,NPR,BL,LIGHT,4,1780
24,VSL,NPR,BL,LIGHT,5,2900
24,VSL,NPR,BL,LIGHT,6,3430
24,VSL,NPR,BL,LIGHT,7,2030
24,VSL,NPR,BL,LIGHT,8,3390
24,VSL,NPR,BL,LIGHT,9,3520
24,VSL,NPR,BL,LIGHT,10,2730
24,VSL,NPR,BL,LIGHT,11,2160
24,VSL,NPR,BL,LIGHT,12,2360
24,VSL,NPR,BL,DARK,13,1050
24,VSL,NPR,BL,DARK,14,2180
24,VSL,NPR,BL,DARK,15,1550
24,VSL,NPR,BL,DARK,16,970
24,VSL,NPR,BL,DARK,17,1490
24,VSL,NPR,BL,DARK,18,600
24,VSL,NPR,BL,DARK,19,1370
24,VSL,NPR,BL,DARK,20,1630
24,VSL,NPR,BL,DARK,21,2010
24,VSL,NPR,BL,DARK,22,2110
24,VSL,NPR,BL,DARK,23,910
24,VSL,NPR,BL,DARK,24,1100
25,VSL,NPR,BL,LIGHT,1,3130
25,VSL,NPR,BL,LIGHT,2,3370
25,VSL,NPR,BL,LIGHT,3,2630
25,VSL,NPR,BL,LIGHT,4,3590
25,VSL,NPR,BL,LIGHT,5,3540
25,VSL,NPR,BL,LIGHT,6,2880
25,VSL,NPR,BL,LIGHT,7,2870
25,VSL,NPR,BL,LIGHT,8,1720
25,VSL,NPR,BL,LIGHT,9,3520
25,VSL,NPR,BL,LIGHT,10,3350
25,VSL,NPR,BL,LIGHT,11,2130
25,VSL,NPR,BL,LIGHT,12,3470
25,VSL,NPR,BL,DARK,13,2220
25,VSL,NPR,BL,DARK,14,2780
25,VSL,NPR,BL,DARK,15,3170
25,VSL,NPR,BL,DARK,16,2230
25,VSL,NPR,BL,DARK,17,3260
25,VSL,NPR,BL,DARK,18,1870
25,VSL,NPR,BL,DARK,19,2570
25,VSL,NPR,BL,DARK,20,590
25,VSL,NPR,BL,DARK,21,250
25,VSL,NPR,BL,DARK,22,1830
25,VSL,NPR,BL,DARK,23,1700
25,VSL,NPR,BL,DARK,24,1070
26,VSL,NPR,BL,LIGHT,1,3100
26,VSL,NPR,BL,LIGHT,2,3300
26,VSL,NPR,BL,LIGHT,3,3400
26,VSL,NPR,BL,LIGHT,4,3340
26,VSL,NPR,BL,LIGHT,5,3300
26,VSL,NPR,BL,LIGHT,6,2910
26,VSL,NPR,BL,LIGHT,7,3130
26,VSL,NPR,BL,LIGHT,8,3210
26,VSL,NPR,BL,LIGHT,9,2960
26,VSL,NPR,BL,LIGHT,10,2680
26,VSL,NPR,BL,LIGHT,11,2960
26,VSL,NPR,BL,LIGHT,12,2230
26,VSL,NPR,BL,DARK,13,970
26,VSL,NPR,BL,DARK,14,1950
26,VSL,NPR,BL,DARK,15,1080
26,VSL,NPR,BL,DARK,16,1040
26,VSL,NPR,BL,DARK,17,1310
26,VSL,NPR,BL,DARK,18,1620
